stage,stage_label,aggregate,holdout_tag,family_tag,slot_budget,variant,proxy,proxy_recall,served_attack_jobs,served_clean_jobs,backend_fail_count,average_service_cost_per_step
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_proposed,current_product_proxy,0.4765498652291093,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_proposed,additive_proxy,0.5493336750384411,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_proposed,backend_success_weighted_proxy,0.23222748815165864,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_proposed,recovery_aware_proxy,0.4709603220241505,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_proposed,burden_proxy,0.6472006153353888,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,topk_expected_consequence,current_product_proxy,0.4765498652291093,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,topk_expected_consequence,additive_proxy,0.5493336750384411,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,topk_expected_consequence,backend_success_weighted_proxy,0.23222748815165864,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,topk_expected_consequence,recovery_aware_proxy,0.4709603220241505,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,topk_expected_consequence,burden_proxy,0.6472006153353888,107,2,98,0.38773219548587196
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_oracle_upgrade,current_product_proxy,0.6533692722371949,131,2,109,0.4827075379896794
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_oracle_upgrade,additive_proxy,0.7102767811378772,131,2,109,0.4827075379896794
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_oracle_upgrade,backend_success_weighted_proxy,0.5418641390205371,131,2,109,0.4827075379896794
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_oracle_upgrade,recovery_aware_proxy,0.6595744680851044,131,2,109,0.4827075379896794
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_oracle_upgrade,burden_proxy,0.7652886599702723,131,2,109,0.4827075379896794
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_proposed,current_product_proxy,0.6814016172506718,134,2,113,0.5376121085147184
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_proposed,additive_proxy,0.7332137365453605,134,2,113,0.5376121085147184
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,2,phase3_proposed,backend_success_weighted_proxy,0.49131121642969977,134,2,113,0.5376121085147184
