method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
cost_time_only_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,1,0.25,,0.10480000000000002,0.10480000000000002,108,0.326445215392755,19,0.5825688073394495,42.75,13.099999999999998,19,19,108,7,5,2,0.0,8.0,14.047725360224566,1.388034774110927,176.2804163120877,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,1,0.5,,0.10480000000000002,0.10480000000000002,107,0.3170232909204708,19,0.5779816513761468,42.349999999999994,13.099999999999998,19,19,107,7,5,2,0.0,8.0,14.11052409997062,1.358671246802018,171.19257709705425,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,1,1.0,,0.10480000000000002,0.10480000000000002,102,0.3014537790033408,16,0.555045871559633,42.849999999999994,13.099999999999998,16,16,105,7,5,2,0.0,8.0,14.358772380292908,1.3453309145603638,162.78504066180403,False,False,cost_time_only
full_trbg_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,1,0.25,,0.10480000000000002,0.10480000000000002,109,0.33480602674333115,19,0.5871559633027523,43.8,13.099999999999998,19,19,109,7,5,2,0.0,8.649999999999991,13.98912830464542,1.4124629253234282,180.7952544413988,False,False,full_trbg
full_trbg_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,1,0.5,,0.10480000000000002,0.10480000000000002,108,0.32247130649707373,18,0.5825688073394495,43.8,13.099999999999998,18,18,109,7,5,2,0.0,8.699999999999989,14.056220944472186,1.3711378386489748,174.1345055084198,False,False,full_trbg
full_trbg_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,1,1.0,,0.10480000000000002,0.10480000000000002,99,0.31279606508074065,16,0.5412844036697247,41.5,13.099999999999998,16,16,102,7,5,2,0.0,9.0,15.14380240844468,1.4314396198610164,168.90987514359995,False,False,full_trbg
source_frozen_transfer,,cfB_backloaded_1_seed20260522_off1200,2,0.0,,0.1616,0.1616,132,0.4288685609462753,23,0.7293577981651376,63.05,20.199999999999996,23,23,136,9,7,2,0.0,6.0,18.28079051791497,1.4565347352892368,231.58902291098866,False,False,none
fail_only_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,2,0.25,,0.18680000000000002,0.18680000000000002,128,0.4537086238943049,20,0.7247706422018348,65.14999999999999,23.349999999999998,20,20,138,8,6,2,0.0,8.0,19.12697234183927,1.5506497272337,245.00265690292463,False,False,fail_only
fail_only_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,2,0.5,,0.18680000000000002,0.18680000000000002,128,0.45403829877411683,17,0.7247706422018348,68.3,23.349999999999998,17,17,141,8,6,2,0.0,7.150000000000006,18.080764966674998,1.551776464164703,245.18068133802308,False,False,fail_only
fail_only_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,2,1.0,,0.18680000000000002,0.18680000000000002,124,0.43713667280420665,16,0.7064220183486238,66.69999999999999,23.349999999999998,16,16,138,8,6,2,0.0,7.699999999999989,18.570024903718526,1.5328169046381273,236.0538033142716,False,False,fail_only
